,Metagene1,Metagene2,Metagene3
0,213513_x_at,AFFX-HSAC07/X00351_M_at,219741_x_at
1,213571_s_at,AFFX-HSAC07/X00351_5_at,205225_at
2,215127_s_at,200806_s_at,205074_at
3,212360_at,208675_s_at,201124_at
4,212959_s_at,221269_s_at,204703_at
5,201306_s_at,AFFX-HUMGAPDH/M33197_5_at,214053_at
6,213136_at,AFFX-HUMGAPDH/M33197_M_at,212970_at
7,212687_at,208625_s_at,40093_at
8,202968_s_at,200008_s_at,212425_at
9,213102_at,200613_at,200810_s_at
10,206734_at,211530_x_at,218471_s_at
11,201215_at,200935_at,218211_s_at
12,214435_x_at,203381_s_at,50965_at
13,204872_at,200866_s_at,209604_s_at
14,207030_s_at,203028_s_at,217645_at
15,209313_at,218028_at,212496_s_at
16,200840_at,200641_s_at,200711_s_at
17,208398_s_at,214359_s_at,218437_s_at
18,213097_s_at,201118_at,215867_x_at
19,202388_at,AFFX-HUMISGF3A/M97935_MA_at,202088_at
