,degree
201926_s_at,0
220607_x_at,0
220641_at,0
209873_s_at,0
219927_at,0
221353_at,0
222149_x_at,0
201981_at,0
203370_s_at,0
207591_s_at,0
211570_s_at,0
215663_at,0
215928_at,0
216074_x_at,0
217202_s_at,0
218202_x_at,0
59375_at,0
201176_s_at,0
201418_s_at,0
203243_s_at,0
204722_at,0
204750_s_at,0
205187_at,0
205928_at,0
206267_s_at,0
207366_at,0
207412_x_at,0
211065_x_at,0
211689_s_at,0
212061_at,0
213424_at,0
213941_x_at,0
214624_at,0
214851_at,0
215043_s_at,0
216492_at,0
216493_s_at,0
216980_s_at,0
217174_s_at,0
217575_s_at,0
218690_at,0
218800_at,0
220075_s_at,0
220110_s_at,0
221294_at,0
53071_s_at,0
201259_s_at,0
201277_s_at,0
201852_x_at,0
202838_at,0
202881_x_at,0
202917_s_at,0
203781_at,0
204047_s_at,0
204522_at,0
205010_at,0
205125_at,0
205148_s_at,0
205169_at,0
205544_s_at,0
205552_s_at,0
205648_at,0
206031_s_at,0
207106_s_at,0
207981_s_at,0
208130_s_at,0
208357_x_at,0
208370_s_at,0
208547_at,0
208566_at,0
208992_s_at,0
209065_at,0
209547_s_at,0
209695_at,0
209914_s_at,0
210141_s_at,0
210169_at,0
210427_x_at,0
210436_at,0
210904_s_at,0
210933_s_at,0
211793_s_at,0
211803_at,0
211888_x_at,0
212022_s_at,0
212150_at,0
212243_at,0
212523_s_at,0
212640_at,0
213245_at,0
213318_s_at,0
213329_at,0
213417_at,0
213748_at,0
214881_s_at,0
215671_at,0
215922_at,0
216034_at,0
216462_at,0
216802_at,0
